idx,gene,growth,start,end,type,RNAP
0,ynaI,heat shock,-14,-7,activator,-10
0,ynaI,Iron supplement,-36,-32,activator,-35
1,ynaI,Iron supplement,-16,1,activator,-10
0,ynaI,LB,-48,-6,activator,RNAP
0,ynaI,Anaerobic growth,-48,-7,activator,RNAP
0,ynaI,Trehalose growth,-44,-6,activator,RNAP
0,ynaI,Zinc growth,-34,-7,activator,RNAP
0,ynaI,Xylose Arabinose growth,-36,-7,activator,RNAP
0,ynaI,Xanthosine growth,-39,1,activator,RNAP
0,yehT,heat shock,-18,-7,activator,-10
0,yehT,Iron supplement,-18,-7,activator,-10
1,yehT,Iron supplement,5,15,activator,-10
0,yehT,LB,-18,-7,activator,-10
0,yehT,Trehalose growth,-46,-33,activator,-35
0,yehT,Zinc growth,-18,1,activator,-10
0,yehT,Xylose Arabinose growth,-18,2,activator,-10
0,ycgB,heat shock,-27,-6,activator,-10
0,ycgB,M9,-17,2,activator,-10
0,ycgB,Zinc growth,-20,-7,activator,-10
0,ycgB,Xylose Arabinose growth,-13,-7,activator,-10
0,xylF,Trehalose growth,-32,-20,activator,-10
0,xylF,Zinc growth,-37,-11,activator,RNAP
0,xylF,Xylose Arabinose growth,-78,-55,activator,TF
0,xylF,Xylose Arabinose growth,-50,-27,activator,TF
0,aegA,M9,-75,-64,activator,-10
1,aegA,M9,-6,2,activator,-10
0,aegA,Anaerobic growth,-34,-21,activator,-35
0,aegA,Xylose Arabinose growth,-13,6,activator,-10
0,sdiA,heat shock,-63,-48,activator,-10
0,sdiA,Iron supplement,-83,-71,activator,-35
1,sdiA,Iron supplement,-66,-56,repressor,TF
0,sdiA,LB,-79,-48,activator,RNAP
1,sdiA,LB,-67,-30,repressor,TRUE
0,sdiA,Anaerobic growth,-85,-37,activator,RNAP
1,sdiA,Anaerobic growth,-60,-41,repressor,TF
0,sdiA,Zinc growth,-79,-72,activator,-35
1,sdiA,Zinc growth,-63,-48,activator,-10
2,sdiA,Zinc growth,-59,-41,repressor,TF
0,sdiA,Xylose Arabinose growth,-79,-72,activator,-35
1,sdiA,Xylose Arabinose growth,-63,-48,activator,-10
2,sdiA,Xylose Arabinose growth,-60,-41,repressor,-10
0,sdiA,Xanthosine growth,-83,-72,activator,-35
